material,source,name,medium,structure,sub structure,construction,composition
ffe_01,Seidentraum,Dishani Crepe de Chine,Plant/Synthetic,Woven,Ribbed,Crepe de Chine,"95% Organic Peace Silk, 5% Elasthan"
ffe_02,Green Whisper,GWTXY30KNSWG,Plant,Knitted,Plain,Fleece,"60% Banana Tree Fiber, 40% Organic Cotton"
ffe_03,Organic Cotton Colours,OCCG-9023,Plant,Knitted,Lace hole,Double Jersey ,100% Organic Cotton
ffe_04,Bananatex,Natural White Medium-Weight Oxford Coated BTX00M47OXC,Plant,Woven,Basket,Oxford,100% Abacá Banana Fibre
ffe_05,Incalpaca,320369EM01000,Animal,Woven,Ribbed,Pile,"68% Suri Alpaca Eco,
32% Wool Eco"
ffe_06,Nettle Circle,Nido d'ape Dis.3,Plant,Woven,Twill,Waffle ,"70% Organic Cotton,
30% HILAYA Himalayan Nettle Fibre"
ffe_07,Clean Bamboo,Vegan Cashmere BLVCN100306,Plant,Woven,Plain,Felted,100% Bamboo Lyocell
ffe_08,Malai,Malai Biocomposite,Plant,Non-woven,Composite,NA,100% Bacterial Cellulose and Agricultural Waste
ffe_09,UPW,27.Huddle,Animal ,Knit,Plain,Single,100% RWS Extrafine Merino Wool
ffe_10,Positive Materials,PM41,Plant,Knit,Plain,Fleece,100% Regenerative Cotton
ffe_11,Spiber,"Smocked Floating Jacquard, ID: BS/K-22C2",Plant/Animal ,Knit,Jacquard,Blister,"78.1% Silk,
21.9% Brewed Protein™ fibre"
ffe_12,Ecological Textiles,ET_H070 Hemp jersey,Plant,Knit,Plain,Single Jersey,100% Hemp